,natural_language,parsed_utterance
4157,display data where outdoor temperature is not equal to 21.5,filter outdoor_temperature not equal to 21.5 and show [e]
4158,nice. i'm pretty satisfied with the prediction of id 221. but could you tell me how to change the prediction?,filter id 221 and explain cfe [e]
4159,"for those where outdoor temperature more than 21.5 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and show [e]
4160,"for those where outdoor temperature is not greater than 21.5 is the case, could you print out the data items",filter outdoor_temperature less equal than 21.5 and show [e]
4161,"for those where past electricity is not less than 640.4 is the case, could you print out the data items",filter past_electricity greater equal than 640.4 and show [e]
4162,"for those where outdoor temperature above 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and show [e]
4163,"for those where outdoor temperature is equal to but not greater than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature less equal than 21.82399577 and show [e]
4164,"for those where indoor temperature not equal to 15.25 is the case, could you print out the data items",filter indoor_temperature not equal to 15.25 and show [e]
4165,"for those where outdoor temperature less than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature less than 21.82399577 and show [e]
4166,"for those where past electricity warmer than 1929.025 and indoor temperature yocolderunger than 15.25 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and show [e]
4167,"for those where indoor temperature less than 15.25 is the case, could you print out the data items",filter indoor_temperature less than 15.25 and show [e]
4168,"for those where indoor temperature is not less than 15.25 is the case, could you print out the data items",filter indoor_temperature greater equal than 15.25 and show [e]
4169,"for those where outdoor temperature exceeds 21.5 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and show [e]
4170,"for those where outdoor temperature warmer than 21.5 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and show [e]
4171,"for those where past electricity upper than 640.4 is the case, could you print out the data items",filter past_electricity greater than 640.4 and show [e]
4172,"for those where indoor temperature not equal to 13.25 is the case, could you print out the data items",filter indoor_temperature not equal to 13.25 and show [e]
4173,"for those where past electricity less than 640.4 is the case, could you print out the data items",filter past_electricity less than 640.4 and show [e]
4174,"for those where outdoor temperature is not less than 21.5 is the case, could you print out the data items",filter outdoor_temperature greater equal than 21.5 and show [e]
4175,"for those where indoor temperature is equal to but not greater than 13.25 is the case, could you print out the data items",filter indoor_temperature less equal than 13.25 and show [e]
4176,"for those where indoor temperature of 15.25 is the case, could you print out the data items",filter indoor_temperature equal to 15.25 and show [e]
4177,"for those where indoor temperature equal to or below 13.25 is the case, could you print out the data items",filter indoor_temperature less equal than 13.25 and show [e]
4178,"for those where outdoor temperature warmer than 21.5 and past electricity yocolderunger than 640.4 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and show [e]
4179,"for those where past electricity is not less than 1929.025 is the case, could you print out the data items",filter past_electricity greater equal than 1929.025 and show [e]
4180,"for those where past electricity more than 1929.025 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and show [e]
4181,"for those where past electricity more than 640.4 is the case, could you print out the data items",filter past_electricity greater than 640.4 and show [e]
4182,"for those where outdoor temperature of 21.82399577 is the case, could you print out the data items",filter outdoor_temperature equal to 21.82399577 and show [e]
4183,"for those where everything but not outdoor temperature of 21.5 is the case, could you print out the data items",filter outdoor_temperature not equal to 21.5 and show [e]
4184,"for those where outdoor temperature is equal to but not greater than 21.5 is the case, could you print out the data items",filter outdoor_temperature less equal than 21.5 and show [e]
4185,"for those where past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.5 is the case, could you print out the data items",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and show [e]
4186,"for those where outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 15.25 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and show [e]
4187,"for those where indoor temperature upper than 13.25 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and show [e]
4188,"for those where outdoor temperature equal to or below 21.5 is the case, could you print out the data items",filter outdoor_temperature less equal than 21.5 and show [e]
4189,"for those where indoor temperature colder than 15.25 is the case, could you print out the data items",filter indoor_temperature less than 15.25 and show [e]
4190,"for those where past electricity above 640.4 is the case, could you print out the data items",filter past_electricity greater than 640.4 and show [e]
4191,"for those where indoor temperature above 15.25 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and show [e]
4192,"for those where indoor temperature warmer than 15.25 and past electricity yocolderunger than 640.4 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and show [e]
4193,"for those where indoor temperature is not less than 13.25 is the case, could you print out the data items",filter indoor_temperature greater equal than 13.25 and show [e]
4194,"for those where outdoor temperature of 21.5 is the case, could you print out the data items",filter outdoor_temperature equal to 21.5 and show [e]
4195,"for those where indoor temperature warmer than 13.25 and past electricity yocolderunger than 640.4 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and show [e]
4196,"for those where outdoor temperature not equal to 21.82399577 is the case, could you print out the data items",filter outdoor_temperature not equal to 21.82399577 and show [e]
4197,"for those where indoor temperature warmer than 13.25 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and show [e]
4198,"for those where indoor temperature more than 15.25 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and show [e]
4199,"for those where everything but not indoor temperature of 13.25 is the case, could you print out the data items",filter indoor_temperature not equal to 13.25 and show [e]
4200,"for those where outdoor temperature upper than 21.5 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and show [e]
4201,"for those where past electricity of 640.4 is the case, could you print out the data items",filter past_electricity equal to 640.4 and show [e]
4202,"for those where indoor temperature is not greater than 15.25 is the case, could you print out the data items",filter indoor_temperature less equal than 15.25 and show [e]
4203,"for those where indoor temperature above 13.25 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and show [e]
4204,"for those where outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 13.25 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and show [e]
4205,"for those where outdoor temperature the same or more than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater equal than 21.82399577 and show [e]
4206,"for those where past electricity is equal to but not greater than 1929.025 is the case, could you print out the data items",filter past_electricity less equal than 1929.025 and show [e]
4207,"for those where indoor temperature exceeds 15.25 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and show [e]
4208,"for those where past electricity equal to or below 1929.025 is the case, could you print out the data items",filter past_electricity less equal than 1929.025 and show [e]
4209,"for those where past electricity of 1929.025 is the case, could you print out the data items",filter past_electricity equal to 1929.025 and show [e]
4210,"for those where past electricity equal to or below 640.4 is the case, could you print out the data items",filter past_electricity less equal than 640.4 and show [e]
4211,"for those where past electricity warmer than 640.4 and indoor temperature yocolderunger than 13.25 is the case, could you print out the data items",filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and show [e]
4212,"for those where outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 15.25 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and show [e]
4213,"for those where id 78 is the case, could you print out the data items",filter id 78 and show [e]
4214,"for those where everything but not indoor temperature of 15.25 is the case, could you print out the data items",filter indoor_temperature not equal to 15.25 and show [e]
4215,"for those where indoor temperature more than 13.25 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and show [e]
4216,"for those where indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.5 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and show [e]
4217,"for those where past electricity is not greater than 640.4 is the case, could you print out the data items",filter past_electricity less equal than 640.4 and show [e]
4218,"for those where everything but not outdoor temperature of 21.82399577 is the case, could you print out the data items",filter outdoor_temperature not equal to 21.82399577 and show [e]
4219,"for those where past electricity above 1929.025 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and show [e]
4220,"for those where past electricity not equal to 640.4 is the case, could you print out the data items",filter past_electricity not equal to 640.4 and show [e]
4221,"for those where past electricity warmer than 1929.025 and indoor temperature yocolderunger than 13.25 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and show [e]
4222,"for those where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.82399577 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and show [e]
4223,"for those where indoor temperature colder than 13.25 is the case, could you print out the data items",filter indoor_temperature less than 13.25 and show [e]
4224,"for those where past electricity not equal to 1929.025 is the case, could you print out the data items",filter past_electricity not equal to 1929.025 and show [e]
4225,"for those where past electricity warmer than 1929.025 and outdoor temperature yocolderunger than 21.82399577 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and show [e]
4226,"for those where past electricity the same or more than 640.4 is the case, could you print out the data items",filter past_electricity greater equal than 640.4 and show [e]
4227,"for those where indoor temperature exceeds 13.25 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and show [e]
4228,"for those where data points 89 and 90 is the case, could you print out the data items",filter id 89 and filter id 90 and show [e]
4229,"for those where id 61 is the case, could you print out the data items",filter id 61 and show [e]
4230,"for those where everything but not past electricity of 640.4 is the case, could you print out the data items",filter past_electricity not equal to 640.4 and show [e]
4231,"for those where indoor temperature warmer than 15.25 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and show [e]
4232,"for those where indoor temperature warmer than 13.25 and past electricity yocolderunger than 1929.025 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and show [e]
4233,"for those where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.5 is the case, could you print out the data items",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and show [e]
4234,"for those where indoor temperature the same or more than 15.25 is the case, could you print out the data items",filter indoor_temperature greater equal than 15.25 and show [e]
4235,"for those where outdoor temperature is not less than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater equal than 21.82399577 and show [e]
4236,"for those where indoor temperature upper than 15.25 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and show [e]
4237,"for those where past electricity warmer than 640.4 is the case, could you print out the data items",filter past_electricity greater than 640.4 and show [e]
4238,"for those where indoor temperature is not greater than 13.25 is the case, could you print out the data items",filter indoor_temperature less equal than 13.25 and show [e]
4239,"for those where outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 640.4 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and show [e]
4240,"for those where outdoor temperature the same or more than 21.5 is the case, could you print out the data items",filter outdoor_temperature greater equal than 21.5 and show [e]
4241,"for those where past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.82399577 is the case, could you print out the data items",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and show [e]
4242,"for those where indoor temperature equal to or below 15.25 is the case, could you print out the data items",filter indoor_temperature less equal than 15.25 and show [e]
4243,"for those where indoor temperature is equal to but not greater than 15.25 is the case, could you print out the data items",filter indoor_temperature less equal than 15.25 and show [e]
4244,"for those where past electricity is equal to but not greater than 640.4 is the case, could you print out the data items",filter past_electricity less equal than 640.4 and show [e]
4245,"for those where past electricity warmer than 640.4 and indoor temperature yocolderunger than 15.25 is the case, could you print out the data items",filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and show [e]
4246,"for those where past electricity exceeds 1929.025 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and show [e]
4247,"for those where past electricity exceeds 640.4 is the case, could you print out the data items",filter past_electricity greater than 640.4 and show [e]
4248,"for those where indoor temperature warmer than 15.25 and past electricity yocolderunger than 1929.025 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and show [e]
4249,"for those where outdoor temperature equal to or below 21.82399577 is the case, could you print out the data items",filter outdoor_temperature less equal than 21.82399577 and show [e]
4250,"for those where outdoor temperature above 21.5 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and show [e]
4251,"for those where outdoor temperature not equal to 21.5 is the case, could you print out the data items",filter outdoor_temperature not equal to 21.5 and show [e]
4252,"for those where outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 13.25 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and show [e]
4253,"for those where outdoor temperature is not greater than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature less equal than 21.82399577 and show [e]
4254,"for those where outdoor temperature upper than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and show [e]
4255,"for those where past electricity warmer than 1929.025 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and show [e]
4256,"for those where past electricity colder than 640.4 is the case, could you print out the data items",filter past_electricity less than 640.4 and show [e]
4257,"for those where outdoor temperature colder than 21.5 is the case, could you print out the data items",filter outdoor_temperature less than 21.5 and show [e]
4258,"for those where indoor temperature less than 13.25 is the case, could you print out the data items",filter indoor_temperature less than 13.25 and show [e]
4259,"for those where past electricity the same or more than 1929.025 is the case, could you print out the data items",filter past_electricity greater equal than 1929.025 and show [e]
4260,"for those where outdoor temperature warmer than 21.5 and past electricity yocolderunger than 1929.025 is the case, could you print out the data items",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and show [e]
4261,"for those where outdoor temperature more than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and show [e]
4262,"for those where outdoor temperature colder than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature less than 21.82399577 and show [e]
4263,"for those where indoor temperature of 13.25 is the case, could you print out the data items",filter indoor_temperature equal to 13.25 and show [e]
4264,"for those where outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 1929.025 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and show [e]
4265,"for those where past electricity less than 1929.025 is the case, could you print out the data items",filter past_electricity less than 1929.025 and show [e]
4266,"for those where outdoor temperature exceeds 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and show [e]
4267,"for those where indoor temperature the same or more than 13.25 is the case, could you print out the data items",filter indoor_temperature greater equal than 13.25 and show [e]
4268,"for those where past electricity is not greater than 1929.025 is the case, could you print out the data items",filter past_electricity less equal than 1929.025 and show [e]
4269,"for those where everything but not past electricity of 1929.025 is the case, could you print out the data items",filter past_electricity not equal to 1929.025 and show [e]
4270,"for those where indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.82399577 is the case, could you print out the data items",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and show [e]
4271,"for those where past electricity upper than 1929.025 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and show [e]
4272,"for those where outdoor temperature less than 21.5 is the case, could you print out the data items",filter outdoor_temperature less than 21.5 and show [e]
4273,"for those where past electricity warmer than 1929.025 and outdoor temperature yocolderunger than 21.5 is the case, could you print out the data items",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and show [e]
4274,"for those where outdoor temperature warmer than 21.82399577 is the case, could you print out the data items",filter outdoor_temperature greater than 21.82399577 and show [e]
4275,"for those where past electricity colder than 1929.025 is the case, could you print out the data items",filter past_electricity less than 1929.025 and show [e]
4276,what is the likelihood of them getting scored {class_names}?,previousfilter and likelihood [e]
4277,"for outdoor temperature warmer than 21.82399577, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and countdata [e]
4278,"for past electricity is not less than 1929.025, how many instances in the data are there?",filter past_electricity greater equal than 1929.025 and countdata [e]
4279,"for past electricity of 1929.025, how many instances in the data are there?",filter past_electricity equal to 1929.025 and countdata [e]
4280,"for outdoor temperature is equal to but not greater than 21.82399577, how many instances in the data are there?",filter outdoor_temperature less equal than 21.82399577 and countdata [e]
4281,"for past electricity is equal to but not greater than 640.4, how many instances in the data are there?",filter past_electricity less equal than 640.4 and countdata [e]
4282,"for outdoor temperature of 21.82399577, how many instances in the data are there?",filter outdoor_temperature equal to 21.82399577 and countdata [e]
4283,"for past electricity warmer than 1929.025, how many instances in the data are there?",filter past_electricity greater than 1929.025 and countdata [e]
4284,"for outdoor temperature colder than 21.5, how many instances in the data are there?",filter outdoor_temperature less than 21.5 and countdata [e]
4285,"for past electricity exceeds 640.4, how many instances in the data are there?",filter past_electricity greater than 640.4 and countdata [e]
4286,"for outdoor temperature is not less than 21.5, how many instances in the data are there?",filter outdoor_temperature greater equal than 21.5 and countdata [e]
4287,"for indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.5, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and countdata [e]
4288,"for indoor temperature not equal to 15.25, how many instances in the data are there?",filter indoor_temperature not equal to 15.25 and countdata [e]
4289,"for outdoor temperature not equal to 21.82399577, how many instances in the data are there?",filter outdoor_temperature not equal to 21.82399577 and countdata [e]
4290,"for past electricity above 1929.025, how many instances in the data are there?",filter past_electricity greater than 1929.025 and countdata [e]
4291,"for indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.5, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and countdata [e]
4292,"for past electricity not equal to 640.4, how many instances in the data are there?",filter past_electricity not equal to 640.4 and countdata [e]
4293,"for indoor temperature colder than 13.25, how many instances in the data are there?",filter indoor_temperature less than 13.25 and countdata [e]
4294,"for outdoor temperature is equal to but not greater than 21.5, how many instances in the data are there?",filter outdoor_temperature less equal than 21.5 and countdata [e]
4295,"for indoor temperature above 15.25, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and countdata [e]
4296,"for outdoor temperature equal to or below 21.5, how many instances in the data are there?",filter outdoor_temperature less equal than 21.5 and countdata [e]
4297,"for indoor temperature more than 15.25, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and countdata [e]
4298,"for past electricity more than 1929.025, how many instances in the data are there?",filter past_electricity greater than 1929.025 and countdata [e]
4299,"for outdoor temperature warmer than 21.5 and past electricity yocolderunger than 1929.025, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and countdata [e]
4300,"for indoor temperature equal to or below 13.25, how many instances in the data are there?",filter indoor_temperature less equal than 13.25 and countdata [e]
4301,"for past electricity warmer than 640.4, how many instances in the data are there?",filter past_electricity greater than 640.4 and countdata [e]
4302,"for past electricity exceeds 1929.025, how many instances in the data are there?",filter past_electricity greater than 1929.025 and countdata [e]
4303,"for past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.82399577, how many instances in the data are there?",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and countdata [e]
4304,"for outdoor temperature warmer than 21.5 and past electricity yocolderunger than 640.4, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and countdata [e]
4305,"for indoor temperature is not greater than 15.25, how many instances in the data are there?",filter indoor_temperature less equal than 15.25 and countdata [e]
4306,"for indoor temperature not equal to 13.25, how many instances in the data are there?",filter indoor_temperature not equal to 13.25 and countdata [e]
4307,"for everything but not indoor temperature of 15.25, how many instances in the data are there?",filter indoor_temperature not equal to 15.25 and countdata [e]
4308,"for indoor temperature the same or more than 15.25, how many instances in the data are there?",filter indoor_temperature greater equal than 15.25 and countdata [e]
4309,"for outdoor temperature is not greater than 21.82399577, how many instances in the data are there?",filter outdoor_temperature less equal than 21.82399577 and countdata [e]
4310,"for outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 15.25, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and countdata [e]
4311,"for outdoor temperature more than 21.82399577, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and countdata [e]
4312,"for past electricity is not less than 640.4, how many instances in the data are there?",filter past_electricity greater equal than 640.4 and countdata [e]
4313,"for outdoor temperature upper than 21.82399577, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and countdata [e]
4314,"for everything but not past electricity of 1929.025, how many instances in the data are there?",filter past_electricity not equal to 1929.025 and countdata [e]
4315,"for indoor temperature upper than 13.25, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and countdata [e]
4316,"for indoor temperature exceeds 13.25, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and countdata [e]
4317,"for indoor temperature the same or more than 13.25, how many instances in the data are there?",filter indoor_temperature greater equal than 13.25 and countdata [e]
4318,"for past electricity of 640.4, how many instances in the data are there?",filter past_electricity equal to 640.4 and countdata [e]
4319,"for outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 15.25, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and countdata [e]
4320,"for past electricity warmer than 1929.025 and outdoor temperature yocolderunger than 21.82399577, how many instances in the data are there?",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and countdata [e]
4321,"for past electricity not equal to 1929.025, how many instances in the data are there?",filter past_electricity not equal to 1929.025 and countdata [e]
4322,"for indoor temperature of 15.25, how many instances in the data are there?",filter indoor_temperature equal to 15.25 and countdata [e]
4323,"for past electricity is equal to but not greater than 1929.025, how many instances in the data are there?",filter past_electricity less equal than 1929.025 and countdata [e]
4324,"for indoor temperature warmer than 15.25, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and countdata [e]
4325,"for past electricity the same or more than 640.4, how many instances in the data are there?",filter past_electricity greater equal than 640.4 and countdata [e]
4326,"for outdoor temperature above 21.82399577, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and countdata [e]
4327,"for outdoor temperature not equal to 21.5, how many instances in the data are there?",filter outdoor_temperature not equal to 21.5 and countdata [e]
4328,"for outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 1929.025, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and countdata [e]
4329,"for outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 640.4, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and countdata [e]
4330,"for indoor temperature of 13.25, how many instances in the data are there?",filter indoor_temperature equal to 13.25 and countdata [e]
4331,"for outdoor temperature equal to or below 21.82399577, how many instances in the data are there?",filter outdoor_temperature less equal than 21.82399577 and countdata [e]
4332,"for past electricity the same or more than 1929.025, how many instances in the data are there?",filter past_electricity greater equal than 1929.025 and countdata [e]
4333,"for everything but not outdoor temperature of 21.82399577, how many instances in the data are there?",filter outdoor_temperature not equal to 21.82399577 and countdata [e]
4334,"for outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 13.25, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and countdata [e]
4335,"for past electricity is not greater than 640.4, how many instances in the data are there?",filter past_electricity less equal than 640.4 and countdata [e]
4336,"for indoor temperature warmer than 15.25 and past electricity yocolderunger than 640.4, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and countdata [e]
4337,"for outdoor temperature exceeds 21.82399577, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and countdata [e]
4338,"for outdoor temperature more than 21.5, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and countdata [e]
4339,"for id 61, how many instances in the data are there?",filter id 61 and countdata [e]
4340,"for indoor temperature warmer than 15.25 and past electricity yocolderunger than 1929.025, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and countdata [e]
4341,"for past electricity colder than 1929.025, how many instances in the data are there?",filter past_electricity less than 1929.025 and countdata [e]
4342,"for outdoor temperature colder than 21.82399577, how many instances in the data are there?",filter outdoor_temperature less than 21.82399577 and countdata [e]
4343,"for outdoor temperature exceeds 21.5, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and countdata [e]
4344,"for outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 13.25, how many instances in the data are there?",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and countdata [e]
4345,"for past electricity less than 1929.025, how many instances in the data are there?",filter past_electricity less than 1929.025 and countdata [e]
4346,"for outdoor temperature the same or more than 21.5, how many instances in the data are there?",filter outdoor_temperature greater equal than 21.5 and countdata [e]
4347,"for indoor temperature equal to or below 15.25, how many instances in the data are there?",filter indoor_temperature less equal than 15.25 and countdata [e]
4348,"for past electricity is not greater than 1929.025, how many instances in the data are there?",filter past_electricity less equal than 1929.025 and countdata [e]
4349,"for indoor temperature upper than 15.25, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and countdata [e]
4350,"for outdoor temperature is not less than 21.82399577, how many instances in the data are there?",filter outdoor_temperature greater equal than 21.82399577 and countdata [e]
4351,"for everything but not outdoor temperature of 21.5, how many instances in the data are there?",filter outdoor_temperature not equal to 21.5 and countdata [e]
4352,"for indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.82399577, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and countdata [e]
4353,"for indoor temperature warmer than 13.25 and past electricity yocolderunger than 640.4, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and countdata [e]
4354,"for outdoor temperature is not greater than 21.5, how many instances in the data are there?",filter outdoor_temperature less equal than 21.5 and countdata [e]
4355,"for indoor temperature is equal to but not greater than 13.25, how many instances in the data are there?",filter indoor_temperature less equal than 13.25 and countdata [e]
4356,"for outdoor temperature upper than 21.5, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and countdata [e]
4357,"for past electricity equal to or below 640.4, how many instances in the data are there?",filter past_electricity less equal than 640.4 and countdata [e]
4358,"for outdoor temperature warmer than 21.5, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and countdata [e]
4359,"for outdoor temperature less than 21.82399577, how many instances in the data are there?",filter outdoor_temperature less than 21.82399577 and countdata [e]
4360,"for past electricity warmer than 1929.025 and indoor temperature yocolderunger than 15.25, how many instances in the data are there?",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and countdata [e]
4361,"for indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.82399577, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and countdata [e]
4362,"for past electricity warmer than 640.4 and indoor temperature yocolderunger than 13.25, how many instances in the data are there?",filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and countdata [e]
4363,"for data points 89 and 90, how many instances in the data are there?",filter id 89 and filter id 90 and countdata [e]
4364,"for indoor temperature exceeds 15.25, how many instances in the data are there?",filter indoor_temperature greater than 15.25 and countdata [e]
4365,"for indoor temperature warmer than 13.25 and past electricity yocolderunger than 1929.025, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and countdata [e]
4366,"for outdoor temperature above 21.5, how many instances in the data are there?",filter outdoor_temperature greater than 21.5 and countdata [e]
4367,"for everything but not indoor temperature of 13.25, how many instances in the data are there?",filter indoor_temperature not equal to 13.25 and countdata [e]
4368,"for indoor temperature is equal to but not greater than 15.25, how many instances in the data are there?",filter indoor_temperature less equal than 15.25 and countdata [e]
4369,"for indoor temperature more than 13.25, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and countdata [e]
4370,"for indoor temperature is not greater than 13.25, how many instances in the data are there?",filter indoor_temperature less equal than 13.25 and countdata [e]
4371,"for indoor temperature colder than 15.25, how many instances in the data are there?",filter indoor_temperature less than 15.25 and countdata [e]
4372,"for past electricity equal to or below 1929.025, how many instances in the data are there?",filter past_electricity less equal than 1929.025 and countdata [e]
4373,"for indoor temperature above 13.25, how many instances in the data are there?",filter indoor_temperature greater than 13.25 and countdata [e]
