,natural_language,parsed_utterance
580,"for datapoints with 640.4 past electricity or 21.5 outdoor temperature, please tell me what the model predicts?",filter past_electricity equal to 640.4 or filter outdoor_temperature equal to 21.5 and predict [e]
581,"for datapoints with 21.82399577 outdoor temperature or 13.25 indoor temperature, please tell me what the model predicts?",filter outdoor_temperature equal to 21.82399577 or filter indoor_temperature equal to 13.25 and predict [e]
582,"for datapoints with 13.25 indoor temperature or 21.82399577 outdoor temperature, please tell me what the model predicts?",filter indoor_temperature equal to 13.25 or filter outdoor_temperature equal to 21.82399577 and predict [e]
583,"for datapoints with 21.5 outdoor temperature or 13.25 indoor temperature, please tell me what the model predicts?",filter outdoor_temperature equal to 21.5 or filter indoor_temperature equal to 13.25 and predict [e]
584,"for datapoints with 13.25 indoor temperature or 21.5 outdoor temperature, please tell me what the model predicts?",filter indoor_temperature equal to 13.25 or filter outdoor_temperature equal to 21.5 and predict [e]
585,"for datapoints with 1929.025 past electricity or 13.25 indoor temperature, please tell me what the model predicts?",filter past_electricity equal to 1929.025 or filter indoor_temperature equal to 13.25 and predict [e]
586,"for datapoints with 1929.025 past electricity or 15.25 indoor temperature, please tell me what the model predicts?",filter past_electricity equal to 1929.025 or filter indoor_temperature equal to 15.25 and predict [e]
587,"for datapoints with 13.25 indoor temperature or 640.4 past electricity, please tell me what the model predicts?",filter indoor_temperature equal to 13.25 or filter past_electricity equal to 640.4 and predict [e]
588,"for datapoints with 21.82399577 outdoor temperature or 15.25 indoor temperature, please tell me what the model predicts?",filter outdoor_temperature equal to 21.82399577 or filter indoor_temperature equal to 15.25 and predict [e]
589,"for datapoints with 640.4 past electricity or 15.25 indoor temperature, please tell me what the model predicts?",filter past_electricity equal to 640.4 or filter indoor_temperature equal to 15.25 and predict [e]
590,"for datapoints with 21.5 outdoor temperature or 640.4 past electricity, please tell me what the model predicts?",filter outdoor_temperature equal to 21.5 or filter past_electricity equal to 640.4 and predict [e]
591,"for datapoints with 640.4 past electricity or 21.82399577 outdoor temperature, please tell me what the model predicts?",filter past_electricity equal to 640.4 or filter outdoor_temperature equal to 21.82399577 and predict [e]
592,"for datapoints with 21.5 outdoor temperature or 15.25 indoor temperature, please tell me what the model predicts?",filter outdoor_temperature equal to 21.5 or filter indoor_temperature equal to 15.25 and predict [e]
593,"for datapoints with 15.25 indoor temperature or 640.4 past electricity, please tell me what the model predicts?",filter indoor_temperature equal to 15.25 or filter past_electricity equal to 640.4 and predict [e]
594,"for datapoints with 21.82399577 outdoor temperature or 640.4 past electricity, please tell me what the model predicts?",filter outdoor_temperature equal to 21.82399577 or filter past_electricity equal to 640.4 and predict [e]
595,"for datapoints with 15.25 indoor temperature or 21.82399577 outdoor temperature, please tell me what the model predicts?",filter indoor_temperature equal to 15.25 or filter outdoor_temperature equal to 21.82399577 and predict [e]
596,"for datapoints with 21.5 outdoor temperature or 1929.025 past electricity, please tell me what the model predicts?",filter outdoor_temperature equal to 21.5 or filter past_electricity equal to 1929.025 and predict [e]
597,"for datapoints with 13.25 indoor temperature or 1929.025 past electricity, please tell me what the model predicts?",filter indoor_temperature equal to 13.25 or filter past_electricity equal to 1929.025 and predict [e]
598,"for datapoints with 21.82399577 outdoor temperature or 1929.025 past electricity, please tell me what the model predicts?",filter outdoor_temperature equal to 21.82399577 or filter past_electricity equal to 1929.025 and predict [e]
599,"for datapoints with 640.4 past electricity or 13.25 indoor temperature, please tell me what the model predicts?",filter past_electricity equal to 640.4 or filter indoor_temperature equal to 13.25 and predict [e]
600,"for datapoints with 15.25 indoor temperature or 1929.025 past electricity, please tell me what the model predicts?",filter indoor_temperature equal to 15.25 or filter past_electricity equal to 1929.025 and predict [e]
601,"for datapoints with 1929.025 past electricity or 21.5 outdoor temperature, please tell me what the model predicts?",filter past_electricity equal to 1929.025 or filter outdoor_temperature equal to 21.5 and predict [e]
602,"for datapoints with 1929.025 past electricity or 21.82399577 outdoor temperature, please tell me what the model predicts?",filter past_electricity equal to 1929.025 or filter outdoor_temperature equal to 21.82399577 and predict [e]
603,"for datapoints with 15.25 indoor temperature or 21.5 outdoor temperature, please tell me what the model predicts?",filter indoor_temperature equal to 15.25 or filter outdoor_temperature equal to 21.5 and predict [e]
604,for those with a indoor temperature of 15.25 would the predictions change if outdoor temperature is decreased by 21.82399577?,filter indoor_temperature equal to 15.25 and change outdoor_temperature decrease 21.82399577 and predict [e]
605,for those with a indoor temperature of 13.25 would the predictions change if outdoor temperature is decreased by 21.82399577?,filter indoor_temperature equal to 13.25 and change outdoor_temperature decrease 21.82399577 and predict [e]
606,for those with a indoor temperature of 13.25 would the predictions change if outdoor temperature is decreased by 21.5?,filter indoor_temperature equal to 13.25 and change outdoor_temperature decrease 21.5 and predict [e]
607,for those with a indoor temperature of 15.25 would the predictions change if outdoor temperature is decreased by 21.5?,filter indoor_temperature equal to 15.25 and change outdoor_temperature decrease 21.5 and predict [e]
608,for those with a outdoor temperature of 21.82399577 would the predictions change if indoor temperature is decreased by 15.25?,filter outdoor_temperature equal to 21.82399577 and change indoor_temperature decrease 15.25 and predict [e]
609,for those with a indoor temperature of 15.25 would the predictions change if past electricity is decreased by 640.4?,filter indoor_temperature equal to 15.25 and change past_electricity decrease 640.4 and predict [e]
610,for those with a outdoor temperature of 21.5 would the predictions change if indoor temperature is decreased by 13.25?,filter outdoor_temperature equal to 21.5 and change indoor_temperature decrease 13.25 and predict [e]
611,for those with a outdoor temperature of 21.82399577 would the predictions change if past electricity is decreased by 640.4?,filter outdoor_temperature equal to 21.82399577 and change past_electricity decrease 640.4 and predict [e]
612,for those with a outdoor temperature of 21.82399577 would the predictions change if indoor temperature is decreased by 13.25?,filter outdoor_temperature equal to 21.82399577 and change indoor_temperature decrease 13.25 and predict [e]
613,for those with a indoor temperature of 15.25 would the predictions change if past electricity is decreased by 1929.025?,filter indoor_temperature equal to 15.25 and change past_electricity decrease 1929.025 and predict [e]
614,for those with a outdoor temperature of 21.5 would the predictions change if past electricity is decreased by 1929.025?,filter outdoor_temperature equal to 21.5 and change past_electricity decrease 1929.025 and predict [e]
615,for those with a indoor temperature of 13.25 would the predictions change if past electricity is decreased by 640.4?,filter indoor_temperature equal to 13.25 and change past_electricity decrease 640.4 and predict [e]
616,for those with a outdoor temperature of 21.5 would the predictions change if past electricity is decreased by 640.4?,filter outdoor_temperature equal to 21.5 and change past_electricity decrease 640.4 and predict [e]
617,for those with a past electricity of 640.4 would the predictions change if indoor temperature is decreased by 15.25?,filter past_electricity equal to 640.4 and change indoor_temperature decrease 15.25 and predict [e]
618,for those with a past electricity of 640.4 would the predictions change if outdoor temperature is decreased by 21.82399577?,filter past_electricity equal to 640.4 and change outdoor_temperature decrease 21.82399577 and predict [e]
619,for those with a outdoor temperature of 21.5 would the predictions change if indoor temperature is decreased by 15.25?,filter outdoor_temperature equal to 21.5 and change indoor_temperature decrease 15.25 and predict [e]
620,for those with a past electricity of 640.4 would the predictions change if indoor temperature is decreased by 13.25?,filter past_electricity equal to 640.4 and change indoor_temperature decrease 13.25 and predict [e]
621,for those with a past electricity of 1929.025 would the predictions change if indoor temperature is decreased by 15.25?,filter past_electricity equal to 1929.025 and change indoor_temperature decrease 15.25 and predict [e]
622,for those with a past electricity of 640.4 would the predictions change if outdoor temperature is decreased by 21.5?,filter past_electricity equal to 640.4 and change outdoor_temperature decrease 21.5 and predict [e]
623,for those with a indoor temperature of 13.25 would the predictions change if past electricity is decreased by 1929.025?,filter indoor_temperature equal to 13.25 and change past_electricity decrease 1929.025 and predict [e]
624,for those with a outdoor temperature of 21.82399577 would the predictions change if past electricity is decreased by 1929.025?,filter outdoor_temperature equal to 21.82399577 and change past_electricity decrease 1929.025 and predict [e]
625,for those with a past electricity of 1929.025 would the predictions change if outdoor temperature is decreased by 21.82399577?,filter past_electricity equal to 1929.025 and change outdoor_temperature decrease 21.82399577 and predict [e]
626,for those with a past electricity of 1929.025 would the predictions change if outdoor temperature is decreased by 21.5?,filter past_electricity equal to 1929.025 and change outdoor_temperature decrease 21.5 and predict [e]
627,for those with a past electricity of 1929.025 would the predictions change if indoor temperature is decreased by 13.25?,filter past_electricity equal to 1929.025 and change indoor_temperature decrease 13.25 and predict [e]
628,what does instance with id 22 need to do to change the prediction?,filter id 22 and explain cfe [e]
629,could you tell me how to change the prediction point for data point 34?,filter id 34 and explain cfe [e]
630,how do you define the feature named past electricity?,define past_electricity [e]
631,how do you define the feature named outdoor temperature?,define outdoor_temperature [e]
632,how do you define the feature named indoor temperature?,define indoor_temperature [e]
633,tell me how many items there are in the data,countdata [e]
634,what are the statistics of indoor temperature like?,statistic indoor_temperature [e]
635,what are the statistics of outdoor temperature like?,statistic outdoor_temperature [e]
636,what are the statistics of past electricity like?,statistic past_electricity [e]
637,what are the predictions for this data point,previousfilter and predict [e]
638,are there any subgroups the model predicts incorrectly here?,previousfilter and mistake typical [e]
639,could you show me the predictions on all the data?,predict [e]
640,"for indoor temperature less than 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature less than 13.25 and statistic outdoor_temperature [e]
641,"for outdoor temperature warmer than 21.5 and past electricity colder than 1929.025, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and statistic outdoor_temperature [e]
642,"for everything but not indoor temperature of 13.25, what is the distribution of indoor temperature?",filter indoor_temperature not equal to 13.25 and statistic indoor_temperature [e]
643,"for outdoor temperature warmer than 21.5 and indoor temperature colder than 15.25, what is the distribution of indoor temperature?",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
644,"for outdoor temperature colder than 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature less than 21.5 and statistic outdoor_temperature [e]
645,"for indoor temperature warmer than 15.25, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 15.25 and statistic outdoor_temperature [e]
646,"for past electricity warmer than 1929.025 and indoor temperature colder than 13.25, what is the distribution of indoor temperature?",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
647,"for past electricity warmer than 1929.025 and indoor temperature colder than 15.25, what is the distribution of indoor temperature?",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
648,"for outdoor temperature warmer than 21.5, what is the distribution of past electricity?",filter outdoor_temperature greater than 21.5 and statistic past_electricity [e]
649,"for outdoor temperature equal to or below 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature less equal than 21.82399577 and statistic past_electricity [e]
650,"for outdoor temperature warmer than 21.82399577 and indoor temperature colder than 13.25, what is the distribution of indoor temperature?",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
651,"for indoor temperature warmer than 13.25 and past electricity colder than 1929.025, what is the distribution of past electricity?",filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and statistic past_electricity [e]
652,"for outdoor temperature not equal to 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature not equal to 21.5 and statistic outdoor_temperature [e]
653,"for everything but not indoor temperature of 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature not equal to 13.25 and statistic outdoor_temperature [e]
654,"for indoor temperature warmer than 15.25 and outdoor temperature colder than 21.82399577, what is the distribution of past electricity?",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and statistic past_electricity [e]
655,"for past electricity exceeds 1929.025, what is the distribution of outdoor temperature?",filter past_electricity greater than 1929.025 and statistic outdoor_temperature [e]
656,"for indoor temperature colder than 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature less than 13.25 and statistic outdoor_temperature [e]
657,"for past electricity warmer than 1929.025 and outdoor temperature colder than 21.82399577, what is the distribution of past electricity?",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and statistic past_electricity [e]
658,"for outdoor temperature warmer than 21.82399577 and indoor temperature colder than 15.25, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and statistic outdoor_temperature [e]
659,"for indoor temperature warmer than 15.25 and past electricity colder than 1929.025, what is the distribution of indoor temperature?",filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and statistic indoor_temperature [e]
660,"for outdoor temperature warmer than 21.5, what is the distribution of indoor temperature?",filter outdoor_temperature greater than 21.5 and statistic indoor_temperature [e]
661,"for everything but not indoor temperature of 15.25, what is the distribution of indoor temperature?",filter indoor_temperature not equal to 15.25 and statistic indoor_temperature [e]
662,"for indoor temperature warmer than 15.25 and past electricity colder than 640.4, what is the distribution of indoor temperature?",filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and statistic indoor_temperature [e]
663,"for id 61, what is the distribution of outdoor temperature?",filter id 61 and statistic outdoor_temperature [e]
664,"for past electricity colder than 640.4, what is the distribution of past electricity?",filter past_electricity less than 640.4 and statistic past_electricity [e]
665,"for past electricity warmer than 640.4, what is the distribution of indoor temperature?",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
666,"for everything but not past electricity of 1929.025, what is the distribution of past electricity?",filter past_electricity not equal to 1929.025 and statistic past_electricity [e]
667,"for outdoor temperature more than 21.82399577, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.82399577 and statistic outdoor_temperature [e]
668,"for outdoor temperature is not greater than 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature less equal than 21.82399577 and statistic past_electricity [e]
669,"for outdoor temperature equal to or below 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature less equal than 21.5 and statistic outdoor_temperature [e]
670,"for past electricity above 640.4, what is the distribution of past electricity?",filter past_electricity greater than 640.4 and statistic past_electricity [e]
671,"for past electricity warmer than 1929.025 and outdoor temperature colder than 21.82399577, what is the distribution of indoor temperature?",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and statistic indoor_temperature [e]
672,"for indoor temperature of 13.25, what is the distribution of past electricity?",filter indoor_temperature equal to 13.25 and statistic past_electricity [e]
673,"for outdoor temperature colder than 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature less than 21.82399577 and statistic past_electricity [e]
674,"for past electricity upper than 640.4, what is the distribution of indoor temperature?",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
675,"for past electricity is not less than 640.4, what is the distribution of indoor temperature?",filter past_electricity greater equal than 640.4 and statistic indoor_temperature [e]
676,"for past electricity is not greater than 640.4, what is the distribution of outdoor temperature?",filter past_electricity less equal than 640.4 and statistic outdoor_temperature [e]
677,"for outdoor temperature of 21.5, what is the distribution of past electricity?",filter outdoor_temperature equal to 21.5 and statistic past_electricity [e]
678,"for indoor temperature is not greater than 15.25, what is the distribution of past electricity?",filter indoor_temperature less equal than 15.25 and statistic past_electricity [e]
679,"for indoor temperature warmer than 13.25 and outdoor temperature colder than 21.5, what is the distribution of past electricity?",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
680,"for past electricity warmer than 1929.025, what is the distribution of outdoor temperature?",filter past_electricity greater than 1929.025 and statistic outdoor_temperature [e]
681,"for past electricity of 640.4, what is the distribution of indoor temperature?",filter past_electricity equal to 640.4 and statistic indoor_temperature [e]
682,"for indoor temperature more than 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 13.25 and statistic outdoor_temperature [e]
683,"for outdoor temperature is not less than 21.82399577, what is the distribution of indoor temperature?",filter outdoor_temperature greater equal than 21.82399577 and statistic indoor_temperature [e]
684,"for outdoor temperature colder than 21.5, what is the distribution of indoor temperature?",filter outdoor_temperature less than 21.5 and statistic indoor_temperature [e]
685,"for past electricity warmer than 640.4 and indoor temperature colder than 13.25, what is the distribution of past electricity?",filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and statistic past_electricity [e]
686,"for outdoor temperature less than 21.82399577, what is the distribution of indoor temperature?",filter outdoor_temperature less than 21.82399577 and statistic indoor_temperature [e]
687,"for past electricity is equal to but not greater than 1929.025, what is the distribution of past electricity?",filter past_electricity less equal than 1929.025 and statistic past_electricity [e]
688,"for outdoor temperature is not less than 21.5, what is the distribution of indoor temperature?",filter outdoor_temperature greater equal than 21.5 and statistic indoor_temperature [e]
689,"for past electricity is not less than 1929.025, what is the distribution of past electricity?",filter past_electricity greater equal than 1929.025 and statistic past_electricity [e]
690,"for outdoor temperature upper than 21.5, what is the distribution of past electricity?",filter outdoor_temperature greater than 21.5 and statistic past_electricity [e]
691,"for outdoor temperature is equal to but not greater than 21.5, what is the distribution of indoor temperature?",filter outdoor_temperature less equal than 21.5 and statistic indoor_temperature [e]
692,"for past electricity is equal to but not greater than 640.4, what is the distribution of indoor temperature?",filter past_electricity less equal than 640.4 and statistic indoor_temperature [e]
693,"for outdoor temperature warmer than 21.82399577 and indoor temperature colder than 15.25, what is the distribution of indoor temperature?",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
694,"for outdoor temperature of 21.82399577, what is the distribution of outdoor temperature?",filter outdoor_temperature equal to 21.82399577 and statistic outdoor_temperature [e]
695,"for indoor temperature above 15.25, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 15.25 and statistic outdoor_temperature [e]
696,"for indoor temperature is equal to but not greater than 15.25, what is the distribution of indoor temperature?",filter indoor_temperature less equal than 15.25 and statistic indoor_temperature [e]
697,"for past electricity of 640.4, what is the distribution of past electricity?",filter past_electricity equal to 640.4 and statistic past_electricity [e]
698,"for past electricity warmer than 640.4 and outdoor temperature colder than 21.5, what is the distribution of indoor temperature?",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and statistic indoor_temperature [e]
699,"for everything but not outdoor temperature of 21.5, what is the distribution of past electricity?",filter outdoor_temperature not equal to 21.5 and statistic past_electricity [e]
700,"for past electricity equal to or below 1929.025, what is the distribution of outdoor temperature?",filter past_electricity less equal than 1929.025 and statistic outdoor_temperature [e]
701,"for past electricity more than 640.4, what is the distribution of past electricity?",filter past_electricity greater than 640.4 and statistic past_electricity [e]
702,"for indoor temperature is not less than 13.25, what is the distribution of indoor temperature?",filter indoor_temperature greater equal than 13.25 and statistic indoor_temperature [e]
703,"for past electricity exceeds 1929.025, what is the distribution of indoor temperature?",filter past_electricity greater than 1929.025 and statistic indoor_temperature [e]
704,"for outdoor temperature less than 21.82399577, what is the distribution of outdoor temperature?",filter outdoor_temperature less than 21.82399577 and statistic outdoor_temperature [e]
705,"for indoor temperature warmer than 15.25 and past electricity colder than 1929.025, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and statistic outdoor_temperature [e]
706,"for indoor temperature the same or more than 13.25, what is the distribution of indoor temperature?",filter indoor_temperature greater equal than 13.25 and statistic indoor_temperature [e]
707,"for outdoor temperature exceeds 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.5 and statistic outdoor_temperature [e]
708,"for indoor temperature is not less than 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature greater equal than 13.25 and statistic outdoor_temperature [e]
709,"for indoor temperature warmer than 13.25 and past electricity colder than 1929.025, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and statistic outdoor_temperature [e]
710,"for past electricity is equal to but not greater than 1929.025, what is the distribution of indoor temperature?",filter past_electricity less equal than 1929.025 and statistic indoor_temperature [e]
711,"for outdoor temperature warmer than 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature greater than 21.82399577 and statistic past_electricity [e]
712,"for past electricity equal to or below 1929.025, what is the distribution of past electricity?",filter past_electricity less equal than 1929.025 and statistic past_electricity [e]
713,"for past electricity of 1929.025, what is the distribution of indoor temperature?",filter past_electricity equal to 1929.025 and statistic indoor_temperature [e]
714,"for outdoor temperature equal to or below 21.82399577, what is the distribution of outdoor temperature?",filter outdoor_temperature less equal than 21.82399577 and statistic outdoor_temperature [e]
715,"for indoor temperature equal to or below 15.25, what is the distribution of outdoor temperature?",filter indoor_temperature less equal than 15.25 and statistic outdoor_temperature [e]
716,"for indoor temperature the same or more than 15.25, what is the distribution of outdoor temperature?",filter indoor_temperature greater equal than 15.25 and statistic outdoor_temperature [e]
717,"for outdoor temperature warmer than 21.5 and past electricity colder than 640.4, what is the distribution of past electricity?",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and statistic past_electricity [e]
718,"for indoor temperature warmer than 15.25 and outdoor temperature colder than 21.5, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and statistic outdoor_temperature [e]
719,"for id 78, what is the distribution of outdoor temperature?",filter id 78 and statistic outdoor_temperature [e]
720,"for outdoor temperature warmer than 21.82399577 and past electricity colder than 640.4, what is the distribution of indoor temperature?",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and statistic indoor_temperature [e]
721,"for indoor temperature not equal to 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature not equal to 13.25 and statistic outdoor_temperature [e]
722,"for outdoor temperature upper than 21.82399577, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.82399577 and statistic outdoor_temperature [e]
723,"for past electricity warmer than 640.4, what is the distribution of outdoor temperature?",filter past_electricity greater than 640.4 and statistic outdoor_temperature [e]
724,"for past electricity warmer than 640.4 and outdoor temperature colder than 21.5, what is the distribution of past electricity?",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
725,"for indoor temperature less than 13.25, what is the distribution of indoor temperature?",filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
726,"for past electricity is equal to but not greater than 1929.025, what is the distribution of outdoor temperature?",filter past_electricity less equal than 1929.025 and statistic outdoor_temperature [e]
727,"for outdoor temperature of 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature equal to 21.82399577 and statistic past_electricity [e]
728,"for indoor temperature less than 15.25, what is the distribution of indoor temperature?",filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
729,"for indoor temperature not equal to 15.25, what is the distribution of outdoor temperature?",filter indoor_temperature not equal to 15.25 and statistic outdoor_temperature [e]
730,"for past electricity more than 640.4, what is the distribution of indoor temperature?",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
731,"for past electricity colder than 640.4, what is the distribution of outdoor temperature?",filter past_electricity less than 640.4 and statistic outdoor_temperature [e]
732,"for past electricity warmer than 1929.025 and outdoor temperature colder than 21.5, what is the distribution of outdoor temperature?",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and statistic outdoor_temperature [e]
733,"for everything but not indoor temperature of 13.25, what is the distribution of past electricity?",filter indoor_temperature not equal to 13.25 and statistic past_electricity [e]
734,"for past electricity less than 1929.025, what is the distribution of past electricity?",filter past_electricity less than 1929.025 and statistic past_electricity [e]
735,"for indoor temperature exceeds 15.25, what is the distribution of indoor temperature?",filter indoor_temperature greater than 15.25 and statistic indoor_temperature [e]
736,"for past electricity not equal to 640.4, what is the distribution of outdoor temperature?",filter past_electricity not equal to 640.4 and statistic outdoor_temperature [e]
737,"for outdoor temperature warmer than 21.5 and indoor temperature colder than 15.25, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and statistic outdoor_temperature [e]
738,"for past electricity warmer than 640.4 and indoor temperature colder than 15.25, what is the distribution of past electricity?",filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and statistic past_electricity [e]
739,"for past electricity less than 640.4, what is the distribution of indoor temperature?",filter past_electricity less than 640.4 and statistic indoor_temperature [e]
740,"for past electricity above 640.4, what is the distribution of indoor temperature?",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
741,"for indoor temperature exceeds 13.25, what is the distribution of indoor temperature?",filter indoor_temperature greater than 13.25 and statistic indoor_temperature [e]
742,"for outdoor temperature above 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.5 and statistic outdoor_temperature [e]
743,"for indoor temperature the same or more than 15.25, what is the distribution of past electricity?",filter indoor_temperature greater equal than 15.25 and statistic past_electricity [e]
744,"for indoor temperature is equal to but not greater than 15.25, what is the distribution of outdoor temperature?",filter indoor_temperature less equal than 15.25 and statistic outdoor_temperature [e]
745,"for outdoor temperature warmer than 21.82399577 and indoor temperature colder than 15.25, what is the distribution of past electricity?",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and statistic past_electricity [e]
746,"for past electricity warmer than 640.4 and outdoor temperature colder than 21.5, what is the distribution of outdoor temperature?",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and statistic outdoor_temperature [e]
747,"for past electricity the same or more than 640.4, what is the distribution of outdoor temperature?",filter past_electricity greater equal than 640.4 and statistic outdoor_temperature [e]
748,"for past electricity upper than 1929.025, what is the distribution of indoor temperature?",filter past_electricity greater than 1929.025 and statistic indoor_temperature [e]
749,"for indoor temperature not equal to 15.25, what is the distribution of indoor temperature?",filter indoor_temperature not equal to 15.25 and statistic indoor_temperature [e]
750,"for past electricity less than 640.4, what is the distribution of outdoor temperature?",filter past_electricity less than 640.4 and statistic outdoor_temperature [e]
751,"for indoor temperature the same or more than 15.25, what is the distribution of indoor temperature?",filter indoor_temperature greater equal than 15.25 and statistic indoor_temperature [e]
752,"for indoor temperature exceeds 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature greater than 13.25 and statistic outdoor_temperature [e]
753,"for past electricity equal to or below 640.4, what is the distribution of indoor temperature?",filter past_electricity less equal than 640.4 and statistic indoor_temperature [e]
754,"for indoor temperature warmer than 15.25 and outdoor temperature colder than 21.5, what is the distribution of past electricity?",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
755,"for indoor temperature of 15.25, what is the distribution of indoor temperature?",filter indoor_temperature equal to 15.25 and statistic indoor_temperature [e]
756,"for indoor temperature is equal to but not greater than 13.25, what is the distribution of outdoor temperature?",filter indoor_temperature less equal than 13.25 and statistic outdoor_temperature [e]
757,"for past electricity exceeds 640.4, what is the distribution of outdoor temperature?",filter past_electricity greater than 640.4 and statistic outdoor_temperature [e]
758,"for outdoor temperature above 21.82399577, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.82399577 and statistic outdoor_temperature [e]
759,"for past electricity is not less than 1929.025, what is the distribution of outdoor temperature?",filter past_electricity greater equal than 1929.025 and statistic outdoor_temperature [e]
760,"for outdoor temperature more than 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature greater than 21.5 and statistic outdoor_temperature [e]
761,"for outdoor temperature is equal to but not greater than 21.5, what is the distribution of past electricity?",filter outdoor_temperature less equal than 21.5 and statistic past_electricity [e]
762,"for indoor temperature upper than 15.25, what is the distribution of past electricity?",filter indoor_temperature greater than 15.25 and statistic past_electricity [e]
763,"for indoor temperature warmer than 13.25 and past electricity colder than 640.4, what is the distribution of past electricity?",filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and statistic past_electricity [e]
764,"for outdoor temperature less than 21.5, what is the distribution of indoor temperature?",filter outdoor_temperature less than 21.5 and statistic indoor_temperature [e]
765,"for indoor temperature warmer than 13.25 and outdoor temperature colder than 21.82399577, what is the distribution of indoor temperature?",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and statistic indoor_temperature [e]
766,"for past electricity more than 1929.025, what is the distribution of outdoor temperature?",filter past_electricity greater than 1929.025 and statistic outdoor_temperature [e]
767,"for outdoor temperature more than 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature greater than 21.82399577 and statistic past_electricity [e]
768,"for outdoor temperature the same or more than 21.82399577, what is the distribution of past electricity?",filter outdoor_temperature greater equal than 21.82399577 and statistic past_electricity [e]
769,"for outdoor temperature of 21.5, what is the distribution of outdoor temperature?",filter outdoor_temperature equal to 21.5 and statistic outdoor_temperature [e]
